Id	Sent1	Sent2	STANFORD_IDENTITY	STANFORD_SOFT	STANFORD_HYBRID	UD_IDENTITY	UD_SOFT	UD_HYBRID	CONST_IDENTITY	STANFORD_EMBED	STANFORD_HYBRID_EMBED	UD_EMBED	UD_HYBRID_EMBED	BASE_VECTOR_STANFORD	BASE_JACC_WORD	BASE_JACC_POSTAG	BASE_JACC_RELATION_STANFORD	BASE_VECTOR_UD	BASE_JACC_RELATION_UD	Score	Label
1	A group of kids is playing in a yard and an old man is standing in the background	A group of boys in a yard is playing and a man is standing in the background	0.01443967558668341	0.04957475716658554	0.028253709361380785	0.004993688226020404	0.017268534470996574	0.007702922226153817	0.14626682020982165	0.014791449284690134	0.028253709361380785	0.006353555070608913	0.009774048660928063	0.9789473684210527	0.7647058963775635	0.7647058963775635	0.5555555820465088	0.9789473684210527	0.5555555820465088	4.5	NEUTRAL
2	A group of children is playing in the house and there is no man standing in the background	A group of kids is playing in a yard and an old man is standing in the background	0.0060777537114075145	0.014835964335458427	0.009268402864530107	0.00223632717934703	0.00763078890529457	0.0038800075849945684	0.14343884310934302	0.006430393544283352	0.009268402864530107	0.004022588208940723	0.0053260187383997746	0.9368421052631579	0.550000011920929	0.4761904776096344	0.3636363744735718	0.9368421052631579	0.3636363744735718	3.2	NEUTRAL
3	The young boys are playing outdoors and the man is smiling nearby	The kids are playing outdoors near a man with a smile	0.005751973085430508	0.04292911491867579	0.02247765680097795	0.008410342670623601	0.03516577706000574	0.015180741163377247	0.09480021661874247	0.011836367452838423	0.02247765680097795	0.014474329031309904	0.030456690826106504	0.6444240777830837	0.29411765933036804	0.29411765933036804	0.1111111119389534	0.6444240777830837	0.1111111119389534	4.7	ENTAILMENT
5	The kids are playing outdoors near a man with a smile	A group of kids is playing in a yard and an old man is standing in the background	0.0	0.06408612947473505	0.016850178138530673	0.0	0.03189728714855356	0.03355253504825022	0.16344245980970012	0.004068100737224474	0.016850178138530673	0.0010455967688470086	0.010863629262430867	0.89182332174557	0.1818181872367859	0.1818181872367859	0.043478261679410934	0.89182332174557	0.043478261679410934	3.4	NEUTRAL
9	The young boys are playing outdoors and the man is smiling nearby	A group of kids is playing in a yard and an old man is standing in the background	0.0	0.01237629249011246	0.004266751750332862	0.0	0.006963730281509563	0.007610414553130277	0.10235681726169121	0.0047599893979945575	0.004266751750332862	0.002544068859801467	0.004320229205605727	0.6763457762288136	0.21739129722118378	0.21739129722118378	0.1818181872367859	0.6763457762288136	0.1818181872367859	3.7	NEUTRAL
12	Two dogs are fighting	Two dogs are wrestling and hugging	0.08333333333333333	0.5	0.2916666666666667	0.08333333333333333	0.5	0.5833333333333334	1.0	0.2076696382338514	0.2916666666666667	0.2076696382338514	0.35383481911692566	0.8386278693775346	0.4285714328289032	0.4285714328289032	0.6000000238418579	0.8386278693775346	0.6000000238418579	4	NEUTRAL
14	A brown dog is attacking another animal in front of the man in pants	Two dogs are fighting	0.0	0.03314122909088369	0.0072589754442933686	0.0	0.021747847765498245	4.585677998486426E-4	0.14285714285714285	0.010442968029305505	0.0072589754442933686	0.006609082993174286	0.0	0.18200630207731602	0.0	0.0	0.0	0.18200630207731602	0.0	3.5	NEUTRAL
18	A brown dog is attacking another animal in front of the man in pants	Two dogs are wrestling and hugging	0.0	0.016570614545441845	0.0036294877221466843	0.0	0.010873923882749123	4.585677998486426E-4	0.14285714285714285	0.005221484014652752	0.0036294877221466843	0.003304541496587143	0.0	0.16694514082354445	0.0	0.0	0.0	0.16694514082354445	0.0	3.2	NEUTRAL
25	Nobody is riding the bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike	0.0	0.10986966873169884	0.027914921161368258	0.0	0.09400259150894696	0.05369687543687963	0.32716515254078793	0.00830706525765147	0.027914921161368258	0.011199739385141056	0.03464104927784272	0.8275891183029994	0.11764705926179886	0.11764705926179886	0.13333334028720856	0.8275891183029994	0.13333334028720856	2.8	NEUTRAL
26	A person is riding the bicycle on one wheel	A man in a black jacket is doing tricks on a motorbike	0.0	0.1350699058735625	0.03496634890315768	0.0	0.11320132619633973	0.05459527564876654	0.32716515254078793	0.007757604451880299	0.03496634890315768	0.015925814965690226	0.04568150272603262	0.8982953824709535	0.1764705926179886	0.1764705926179886	0.20000000298023224	0.8982953824709535	0.20000000298023224	3.7	NEUTRAL
28	A person on a black motorbike is doing tricks with a jacket	A person is riding the bicycle on one wheel	0.008278327231656524	0.1350699058735625	0.052055166036279854	0.005619396567649798	0.0494568900857795	0.007113444219375577	0.32716515254078793	0.013594669115884974	0.052055166036279854	0.01719214179011736	0.02189431919971261	0.8982953824709535	0.25	0.25	0.2857142984867096	0.8982953824709535	0.2857142984867096	3.4	NEUTRAL
30	A man with a jersey is dunking the ball at a basketball game	The ball is being dunked by a man with a jersey at a basketball game	0.0333723014065516	0.08653343657526295	0.05060454792442091	0.012717286746217077	0.05083875397358955	0.04209130616526302	0.24197978607203927	0.04924635668473206	0.05060454792442091	0.01689247731583567	0.030212408283037544	0.9562595016167079	0.5625	0.5625	0.4375	0.9562595016167079	0.4375	4.9	ENTAILMENT
35	A man with a jersey is dunking the ball at a basketball game	A man who is playing dunks the basketball into the net and a crowd is in background	0.0010711304997959637	0.05629927954391948	0.00933621673708443	5.427418204784586E-4	0.044738328514070815	0.01773829605816191	0.17988024448755444	0.002693308282200625	0.00933621673708443	0.002320646197288189	0.010343032624653851	0.9408563800970627	0.2857142984867096	0.2857142984867096	0.2380952388048172	0.9268119508060212	0.2380952388048172	3.6	NEUTRAL
40	The player is dunking the basketball into the net and a crowd is in background	A man with a jersey is dunking the ball at a basketball game	0.001956628727851266	0.2131140461722522	0.03297447119086806	9.7901644038616E-4	0.1647814816118967	0.011230125154393141	0.27971462372850725	0.01097489572313196	0.03297447119086806	0.007878742529418899	0.02449052799894553	0.9622504486493763	0.25	0.25	0.1428571492433548	0.9483719115939812	0.1428571492433548	3.8	NEUTRAL
42	Two people are kickboxing and spectators are not watching	Two people are kickboxing and spectators are watching	0.7401527456927535	0.7509423330065634	0.7438542524244844	0.7401527456927535	0.7509423330065634	0.5533191488499887	1.0	0.2875616031201939	0.7438542524244844	0.2875616031201939	0.7452785222866795	0.9622504486493763	0.875	0.875	0.8571428656578064	0.9622504486493763	0.8571428656578064	3.4	CONTRADICTION
44	Two young women are sparring in a kickboxing fight	Two women are sparring in a kickboxing match	0.22030404580620944	0.7894228308055838	0.5048634383058966	0.07720914364821829	0.7849596270902194	0.3383838383838384	1.0	0.4022369677589001	0.5048634383058966	0.3013397977169178	0.5421809986800787	0.9526610232449336	0.699999988079071	0.699999988079071	0.6666666865348816	0.9526610232449336	0.6666666865348816	4.9	ENTAILMENT
45	Two young women are not sparring in a kickboxing fight	Two women are sparring in a kickboxing match	0.16112100535524437	0.5773502691896257	0.369235637272435	0.05587987562271126	0.5681120688308978	0.17724867724867724	1.0	0.04381773127187414	0.369235637272435	0.031359923694015565	0.39240179776219186	0.9102991273635125	0.6363636255264282	0.6363636255264282	0.6000000238418579	0.9102991273635125	0.6000000238418579	3.9	NEUTRAL
47	Two people are kickboxing and spectators are watching	Two young women are not sparring in a kickboxing fight	0.0	0.08719857870059146	0.029697485379008702	0.0	0.07203994278731098	0.04202654401058894	0.2816715160878121	0.028417973259525324	0.029697485379008702	0.02715598747693342	0.04158620462305524	0.5838403593598094	0.2142857164144516	0.2142857164144516	0.1538461595773697	0.5838403593598094	0.1538461595773697	3.415	NEUTRAL
49	Two women are sparring in a kickboxing match	Two people are kickboxing and spectators are not watching	0.0	0.11341659927895846	0.03826204293018889	0.0	0.0952238927394891	0.044378799691582746	0.2816715160878121	0.010981509102506165	0.03826204293018889	0.02168193921715301	0.05455491412594412	0.6534640392130713	0.23076923191547394	0.23076923191547394	0.1666666716337204	0.6534640392130713	0.1666666716337204	3.7	NEUTRAL
55	Three boys are jumping in the leaves	Three kids are jumping in the leaves	0.37037037037037035	1.0	0.6851851851851852	0.36363636363636365	1.0	0.6564474608003744	1.0	0.7603204621095802	0.6851851851851852	0.755961231903437	0.8681748133287759	1.0	0.75	0.75	0.7142857313156128	1.0	0.7142857313156128	4.4	ENTAILMENT
56	Three kids are sitting in the leaves	Three kids are jumping in the leaves	0.14814814814814814	1.0	0.5740740740740741	0.12121212121212122	1.0	0.5636555113503394	1.0	0.4148162307067545	0.5740740740740741	0.40132259662336806	0.7012194259737736	1.0	0.75	0.75	1.0	1.0	1.0	3.8	NEUTRAL
58	Children in red shirts are playing in the leaves	Three kids are sitting in the leaves	0.08333333333333333	0.40824829046386296	0.219942959691286	0.06286946134619315	0.4044280124631324	0.13214285714285715	0.5962847939999439	0.20962935903493893	0.219942959691286	0.1720893872250422	0.27898303124350354	0.8262364471909156	0.3636363744735718	0.3636363744735718	0.4444444477558136	0.8262364471909156	0.4444444477558136	3.5	NEUTRAL
62	Children in red shirts are playing in the leaves	Three kids are jumping in the leaves	0.08333333333333333	0.40824829046386296	0.219942959691286	0.06286946134619315	0.4044280124631324	0.13214285714285715	0.5962847939999439	0.16020131013029337	0.219942959691286	0.12841064239185865	0.25736469277173596	0.8262364471909156	0.3636363744735718	0.3636363744735718	0.4444444477558136	0.8262364471909156	0.4444444477558136	4	NEUTRAL
65	Two angels are making snow on the lying children	Two children are lying in the snow and are making snow angels	0.018171808922495446	0.11763553426868371	0.02419191955733072	0.01350652691785683	0.012330080734889864	0.009173074328881694	0.3840476863212843	0.0017342674005553032	0.02419191955733072	0.0010969521422074632	0.006204964896746157	0.8736977528572243	0.7272727489471436	0.7272727489471436	0.20000000298023224	0.8736977528572243	0.20000000298023224	2.9	NEUTRAL
70	Two children are lying in the snow and are drawing angels	Two people in snowsuits are lying in the snow and making snow angels	0.05356715840055802	0.44381643404405113	0.20139170005206905	0.05263127772299677	0.44290724775331675	0.27313403933483155	0.2228814134045291	0.15823246164605387	0.20139170005206905	0.1489413895725893	0.2758468313811574	0.8990229253768994	0.6153846383094788	0.6153846383094788	0.5384615659713745	0.8990229253768994	0.5384615659713745	4.1	NEUTRAL
72	Two people in snowsuits are lying in the snow and making snow angels	Two angels are making snow on the lying children	0.005251460601491967	0.10930853324865997	0.025101709902598485	0.0039024111667062132	0.062328156683493265	0.007629310822427252	0.2149438066455347	0.010471962623128979	0.025101709902598485	0.005141247359051972	0.02362899575240831	0.886077629568296	0.5384615659713745	0.5384615659713745	0.1875	0.886077629568296	0.1875	2.5	NEUTRAL
73	Two children are lying in the snow and are making snow angels	Two people in snowsuits are lying in the snow and making snow angels	0.17339365466222856	0.5002833658405654	0.3368959401073297	0.17174030328213383	0.4992274277170251	0.38684942344432366	0.2228814134045291	0.35726184520542037	0.3368959401073297	0.3485095676575668	0.41919772442692277	0.9243363213059627	0.75	0.75	0.75	0.9243363213059627	0.75	4.2	NEUTRAL
77	People wearing costumes are gathering in a forest and are looking in the same direction	Masked people are looking in the same direction in a forest	0.060268733496007275	0.10895267882827867	0.07131740241680158	0.04042423513579139	0.06976482411738777	0.01920765510589019	0.1687631851389036	0.058711078193951015	0.07131740241680158	0.04131150501087268	0.04800253739738786	0.8581136291365753	0.5333333611488342	0.5333333611488342	0.5	0.8581136291365753	0.5	4.4	ENTAILMENT
78	People wearing costumes are gathering in a forest and are looking in the same direction	People wearing costumes are scattering in a forest and are looking in different directions	0.01266093303119527	0.6528676806068173	0.2769415754758295	0.005938491095626537	0.4898610357133193	0.12316785670161413	1.0	0.016660618378045472	0.2769415754758295	0.008244852755588113	0.17420545621827055	0.9615239476408232	0.5625	0.5625	0.6428571343421936	0.9615239476408232	0.6428571343421936	3.2	NEUTRAL
79	People are looking at some costumes gathered in the vicinity of the forest	People wearing costumes are gathering in a forest and are looking in the same direction	0.0026624102127695724	0.07673318194138778	0.02740860475337688	0.0011549192237898015	0.03645191069392361	0.021171396842543006	0.15806120471843169	0.0047421958941731845	0.02740860475337688	0.004393354795830262	0.01628267950984125	0.840492644913007	0.3888888955116272	0.3888888955116272	0.2777777910232544	0.840492644913007	0.2777777910232544	3.635	NEUTRAL
81	A little girl is looking at a woman in costume	People wearing costumes are scattering in a forest and are looking in different directions	0.0	0.06410715429243442	0.016617222555722226	0.0	0.05164429278945873	0.02961300282072111	0.1968903826620542	0.005901729109335217	0.016617222555722226	0.002180375227772476	0.020170186569382163	0.6519761393619985	0.15789473056793213	0.15789473056793213	0.1111111119389534	0.6519761393619985	0.1111111119389534	2.4	NEUTRAL
82	A little girl is looking at a woman in costume	People are looking at some costumes gathered in the vicinity of the forest	0.008029603511982328	0.18888727573747083	0.05092402466232116	0.0	0.1083373337419619	0.039709524128237736	0.5034148737251605	0.02084104389916086	0.05092402466232116	0.0061510672309803725	0.03501137190437376	0.85823175386454	0.15789473056793213	0.15789473056793213	0.1111111119389534	0.85823175386454	0.1111111119389534	2.6	NEUTRAL
83	A young girl is looking at a woman in costume	People wearing costumes are gathering in a forest and are looking in the same direction	0.0	0.07406440198106348	0.018464727403119986	0.0	0.046179212855221384	0.03288267184258082	0.1968903826620542	0.006463267527941533	0.018464727403119986	0.0027571726350221182	0.01643703048765837	0.7894178823613726	0.15000000596046448	0.15000000596046448	0.10526315867900848	0.7894178823613726	0.10526315867900848	2.2	NEUTRAL
84	People wearing costumes are gathering in a forest and are looking in the same direction	The little girl is looking at a man in costume	0.0	0.07406440198106348	0.018464727403119986	0.0	0.05504810125417507	0.003686777375755347	0.1687631851389036	0.006506808370528281	0.018464727403119986	0.002517668782815982	0.01957911306625821	0.7894178823613726	0.15000000596046448	0.15000000596046448	0.10526315867900848	0.7894178823613726	0.10526315867900848	3	NEUTRAL
85	People wearing costumes are gathering in a forest and are looking in the same direction	A little girl in costume looks like a woman	0.0	0.04077699323362167	0.012779406080674526	0.0	0.030223100975879578	0.0019707141214661233	0.14752379107053626	7.134159376581867E-4	0.012779406080674526	8.315194421915451E-4	0.010752767964521955	0.6934307447952751	0.10000000149011612	0.10000000149011612	0.1111111119389534	0.6934307447952751	0.1111111119389534	2	NEUTRAL
